 70.5    4.0    370  74  67 
 53.5  315.0   6166  53  54
 65.0    4.0    684  68  62
 76.5    1.7    449  80  73
 70.0    8.0    643  72  68
 71.0    5.6   1551  74  68
 60.5   15.0    616  61  60
 51.5  503.0  36660  53  50
 78.0    2.6    403  82  74
 76.0    2.6    346  79  73
 57.5   44.0   2471  58  57
 61.0   24.0   7427  63  59
 64.5   23.0   2992  65  64
 78.5    3.8    233  82  75
 79.0    1.8    609  82  76
 61.0   96.0   7615  63  59
 70.0   90.0    370  73  67
 70.0    4.9   1066  73  67
 72.0    6.6    600  76  68
 64.5   21.0   4873  66  63
 54.5  592.0   3485  56  53
 56.5   73.0   2364  57  56
 64.5   14.0   1016  67  62
 64.5    8.8   1062  67  62
 73.0    3.9    480  77  69
 72.0    6.0    559  75  69
 69.0    3.2    259  74  64
 64.0   11.0   1340  67  61
 78.5    2.6    275  82  75
 53.0   23.0  12550  54  52
 75.0    3.2    965  78  72
 52.5     NA  25229  55  50
 68.5   11.0   4883  71  66
 70.0    5.0   1189  72  68
 70.5    3.0    226  75  66
 76.0    3.0    611  79  73
 75.5    1.3    404  79  72
 74.5    5.6    576  78  71
 65.0   29.0   3096  67  63
 54.0     NA  23193  56  52
