670	600	1
700	640	1
640	530	1
670	600	1
540	580	1
760	630	1
600	400	1
460	530	1
670	450	1
570	480	1
491	488	1
600	600	1
510	530	1
750	610	1
650	460	1
720	630	1
760	500	1
800	610	1
640	670	1
750	700	1
520	440	1
610	530	1
505	435	1
559	607	1
760	620	1
640	490	1
520	360	1
580	460	1
700	520	1
620	570	1
490	550	1
640	520	1
550	290	1
600	520	1
400	390	1
710	530	1
750	670	1
660	480	1
620	480	1
630	440	1
650	450	1
550	570	1
730	650	1
710	400	1
770	720	1
610	560	1
600	360	1
640	570	1
750	540	1
650	480	1
590	420	1
660	630	1
570	570	1
570	480	1
660	550	1
690	550	1
670	500	1
660	460	1
600	630	1
447	320	1
600	410	1
620	580	1
580	470	1
630	630	1
600	560	1
700	440	1
550	560	1
680	450	1
630	500	1
750	760	1
491	391	1
550	500	1
630	500	1
690	440	1
540	400	1
640	480	1
520	410	1
559	488	1
590	510	1
580	580	1
670	440	1
620	590	1
540	470	1
620	560	1
770	540	1
620	570	1
660	560	1
710	500	1
610	390	1
560	690	1
690	460	1
590	440	1
530	440	1
540	610	1
530	560	1
640	500	1
590	470	1
520	490	1
559	545	1
500	460	1
490	390	1
490	370	1
670	480	1
720	610	1
640	520	1
520	380	1
400	470	1
480	410	1
480	390	1
530	470	1
550	500	1
720	500	1
640	630	1
690	580	1
640	600	1
690	400	1
470	330	1
480	460	1
540	590	1
510	380	1
560	500	1
600	510	1
690	490	1
590	480	1
580	340	1
650	500	1
630	490	1
530	320	1
650	490	1
620	430	1
690	440	1
720	740	1
590	440	1
630	500	1
700	480	1
630	540	1
620	400	1
470	410	1
586	697	1
586	670	1
700	500	1
550	570	1
505	518	1
515	285	1
774	688	1
570	570	2
580	540	2
560	530	2
650	570	2
440	430	2
570	750	2
476	576	2
680	700	2
490	480	2
590	490	2
590	580	2
650	490	2
480	520	2
670	490	2
710	600	2
570	570	2
540	460	2
620	510	2
630	470	2
630	700	2
610	460	2
720	680	2
640	590	2
650	500	2
640	430	2
740	460	2
600	660	2
650	430	2
510	440	2
550	510	2
570	530	2
630	560	2
710	470	2
620	470	2
417	518	2
600	600	2
460	460	2
300	290	2
560	480	2
590	420	2
559	435	2
550	440	2
550	660	2
650	350	2
610	520	2
530	480	2
480	360	2
550	450	2
560	420	2
430	330	2
490	400	2
590	470	2
690	510	2
570	480	2
550	600	2
510	570	2
470	420	2
470	330	2
510	360	2
450	460	2
530	550	2
490	410	2
530	510	2
580	490	2
580	490	2
620	420	2
430	460	2
500	390	2
590	580	2
620	600	2
520	570	2
480	480	2
640	470	2
640	560	2
600	440	2
510	480	2
356	350	2
630	470	2
559	488	2

